epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
39,2048.86,0.85995,4.70423,0.34931,0.56648,1.21559,0.96847,1,0.995,0.796,0,0,0,0,0.79,5.22737,0.0837,0.46876,1.01288,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,2100.83,0.85275,4.58355,0.34863,0.55769,1.1997,0.9696,1,0.995,0.8955,0,0,0,0,0.84074,5.90722,0.05132,0.33963,0.97756,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,2152.8,0.84393,4.60482,0.33829,0.55399,1.1948,0.96923,1,0.995,0.796,0,0,0,0,0.89975,6.19835,0.0267,0.28115,0.99951,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,2204.73,0.85893,4.60811,0.3491,0.54567,1.20155,0.96798,1,0.995,0.796,0,0,0,0,0.96637,6.57878,0.06565,0.32121,0.99157,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,2256.85,0.83456,4.47037,0.33908,0.54358,1.18659,0.96923,1,0.995,0.8955,0,0,0,0,0.51353,5.59435,0.07489,0.25436,0.94043,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,2308.71,0.85025,4.47524,0.33408,0.55217,1.19473,1,1,0.995,0.796,0,0,0,0,0.80005,6.79199,0.05725,0.39203,0.95892,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,2360.56,0.85483,4.54874,0.33711,0.55931,1.20732,0.96842,1,0.995,0.796,0,0,0,0,0.93515,5.76396,0.05218,0.39159,0.99617,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,2412.47,0.83846,4.43562,0.34009,0.53761,1.19082,0.96543,1,0.995,0.8955,0,0,0,0,0.63679,6.83006,0.1003,0.31106,0.9072,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,2464.69,0.83895,4.43629,0.33227,0.55374,1.1945,0.96977,1,0.995,0.995,0,0,0,0,0.44901,6.0803,0.06395,0.33297,0.87135,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,2516.89,0.83497,4.34304,0.33682,0.5408,1.1855,0.96955,1,0.995,0.8955,0,0,0,0,0.55643,5.9207,0.04667,0.29967,0.89327,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,2568.78,0.81939,4.29212,0.33489,0.52817,1.17956,0.96964,1,0.995,0.995,0,0,0,0,0.22147,5.61548,0.03918,0.25639,0.8128,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
